_id,SOZIETATEA_EU/SOCIEDAD_EU,SOZIETATEA_CAS/SOCIEDAD_CAS,DENBORALDIA/TEMPORADA,JARDUERA_EU/ACTIVIDAD_EU,JARDUERA_CAS/ACTIVIDAD_CAS,KATEGORIA_EU/CATEGORIA_EU,KATEGORIA_CAS/CATEGORIA_CAS,IZENA EMATEKO EPEA (HASIERA)_EU/PLAZO INSCRIPCION (DESDE)_EU,IZENA EMATEKO EPEA (HASIERA)_CAS/PLAZO INSCRIPCION (DESDE)_CAS,IZENA EMATEKO EPEA (AMAIERA)_EU/PLAZO INSCRIPCION (HASTA)_EU,IZENA EMATEKO EPEA (AMAIERA)_CAS/PLAZO INSCRIPCION (HASTA)_CAS
76,BFA,DFB,2024/2025,FUTBOL 5,FUTBOL 5,BENJAMINAK,BENJAMIN,IRAILAK 2,2 DE SEPTIEMBRE,URRIAK 4,4 DE OCTUBRE
77,BFA,DFB,2024/2025,FUTBOL 5,FUTBOL 5,KIMUAK,ALEVIN,IRAILAK 2,2 DE SEPTIEMBRE,IRAILAK 27,27 DE SEPTIEMBRE
78,BFA,DFB,2024/2025,FUTBOL 5,FUTBOL 5,UMEAK,INFANTIL,IRAILAK 2,2 DE SEPTIEMBRE,IRAILAK 27,27 DE SEPTIEMBRE
79,BFA,DFB,2024/2025,FUTBOL 5,FUTBOL 5,KADETEAK,CADETE,IRAILAK 2,2 DE SEPTIEMBRE,IRAILAK 27,27 DE SEPTIEMBRE
80,BFA,DFB,2024/2025,NESKEN 7 FUTBOLA,FUTBOL 7 FEMENINO,BENJAMINAK,BENJAMIN,IRAILAK 2,2 DE SEPTIEMBRE,URRIAK 4,4 DE OCTUBRE
81,BFA,DFB,2024/2025,NESKEN 7 FUTBOLA,FUTBOL 7 FEMENINO,KIMUAK,ALEVIN,IRAILAK 2,2 DE SEPTIEMBRE,IRAILAK 27,27 DE SEPTIEMBRE
82,BFA,DFB,2024/2025,FUTBOL 7 A,FUTBOL 7 A,BENJAMINAK,BENJAMIN,IRAILAK 2,2 DE SEPTIEMBRE,IRAILAK 20,20 DE SEPTIEMBRE
83,BFA,DFB,2024/2025,FUTBOL 7 A,FUTBOL 7 A,KIMUAK,ALEVIN,IRAILAK 2,2 DE SEPTIEMBRE,IRAILAK 20,20 DE SEPTIEMBRE
84,BFA,DFB,2024/2025,FUTBOL 7 B,FUTBOL 7 B,BENJAMINAK,BENJAMIN,IRAILAK 2,2 DE SEPTIEMBRE,URRIAK 4,4 DE OCTUBRE
85,BFA,DFB,2024/2025,FUTBOL 7 B,FUTBOL 7 B,KIMUAK,ALEVIN,IRAILAK 2,2 DE SEPTIEMBRE,IRAILAK 27,27 DE SEPTIEMBRE
86,BFA,DFB,2024/2025,D7 FUTBOLA,FUTBOL 7D,KIMUAK,ALEVIN,IRAILAK 2,2 DE SEPTIEMBRE,IRAILAK 27,27 DE SEPTIEMBRE
87,BFA,DFB,2024/2025,D7 FUTBOLA,FUTBOL 7D,BENJAMINAK,BENJAMIN,IRAILAK 2,2 DE SEPTIEMBRE,URRIAK 4,4 DE OCTUBRE
88,BFA,DFB,2024/2025,7R FUTBOLA,FUTBOL 7R,R KIMUEN 2. URTEA,ALEVIN 2Âº AÃO R,IRAILAK 2,2 DE SEPTIEMBRE,IRAILAK 12,12 DE SEPTIEMBRE
89,BFA,DFB,2024/2025,FUTBOL 11 A,FUTBOL 11 A,UMEAK,INFANTIL,IRAILAK 2,2 DE SEPTIEMBRE,IRAILAK 20,20 DE SEPTIEMBRE
90,BFA,DFB,2024/2025,FUTBOL 11 B,FUTBOL 11 B,UMEAK,INFANTIL,IRAILAK 2,2 DE SEPTIEMBRE,IRAILAK 27,27 DE SEPTIEMBRE
91,BFA,DFB,2024/2025,7KO FUTBOLA,FUTBOL 7,GAZTEAK,JUVENIL,IRAILAK 2,2 DE SEPTIEMBRE,IRAILAK 27,27 DE SEPTIEMBRE
92,BFA,DFB,2024/2025,7KO FUTBOLA,FUTBOL 7,KADETEAK,CADETE,IRAILAK 2,2 DE SEPTIEMBRE,IRAILAK 27,27 DE SEPTIEMBRE
93,BFA,DFB,2024/2025,NESKEN 11 A FUTBOLA,FUTBOL 11 A FEMENINO,UMEAK,INFANTIL,IRAILAK 2,2 DE SEPTIEMBRE,IRAILAK 27,27 DE SEPTIEMBRE
94,BFA,DFB,2024/2025,7B NESKEN FUTBOLA,FUTBOL 7B FEMENINO,UMEAK,INFANTIL,IRAILAK 2,2 DE SEPTIEMBRE,IRAILAK 27,27 DE SEPTIEMBRE
95,BFA,DFB,2024/2025,FRONTENISA,FRONTENIS,UMEAK,INFANTIL,IRAILAK 2,2 DE SEPTIEMBRE,ABENDUAK 13,13 DE DICIEMBRE
96,BFA,DFB,2024/2025,FRONTENISA,FRONTENIS,KADETEAK,CADETE,IRAILAK 2,2 DE SEPTIEMBRE,ABENDUAK 13,13 DE DICIEMBRE
97,BFA,DFB,2024/2025,FRONTENISA,FRONTENIS,KIMUAK,ALEVIN,IRAILAK 2,2 DE SEPTIEMBRE,ABENDUAK 13,13 DE DICIEMBRE
98,BFA,DFB,2024/2025,FRONTENISA,FRONTENIS,BENJAMINAK,BENJAMIN,IRAILAK 2,2 DE SEPTIEMBRE,ABENDUAK 13,13 DE DICIEMBRE
99,BFA,DFB,2024/2025,FRONTENISA,FRONTENIS,BANAKAKOA KIROLA,DEPORTE INDIVIDUAL,IRAILAK 2,2 DE SEPTIEMBRE,ABENDUAK 13,13 DE DICIEMBRE
100,BFA,DFB,2024/2025,NESKEN FRONTENISA,FRONTENIS FEMENINO,KIMUAK,ALEVIN,IRAILAK 2,2 DE SEPTIEMBRE,ABENDUAK 13,13 DE DICIEMBRE
